endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1716892704316,308,Dummy Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,11,0,1,2,null,17,0,1
1716892704625,80,Dummy Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,9,0,1,2,null,14,0,3
1716892704708,138,Dummy Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,37,0,1,2,null,42,0,5
1716892704848,74,Dummy Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,14,0,1,2,null,20,0,2
1716892705060,8,Debug Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,268,0,1,2,null,0,0,0
1716892704622,449,Login,401,Not OK,🛠 Thread Group 1-1,text,true,,15,0,1,1,null,43,0,2
1716892705071,453,Login,401,Not OK,🛠 Thread Group 1-1,text,true,,15,0,1,2,null,41,0,4
1716892705235,485,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,1,2,null,16,0,2
1716892705721,219,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,1,3,null,7,0,5
1716892705525,428,Login,200,OK,🛠 Thread Group 1-1,text,true,,21,0,2,3,null,27,0,3
1716892705770,472,Login,401,Not OK,🛠 Thread Group 1-2,text,true,,15,0,2,3,null,14,0,5
1716892705954,409,Login,200,OK,🛠 Thread Group 1-1,text,true,,21,0,2,3,null,6,0,1
1716892705942,478,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,1,3,null,12,0,1
1716892706369,185,Login,200,OK,🛠 Thread Group 1-1,text,true,,21,0,2,3,null,33,0,5
1716892706420,262,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,1,3,null,16,0,4
1716892706244,462,Login,401,Not OK,🛠 Thread Group 1-2,text,true,,15,0,2,3,null,39,0,1
1716892706737,87,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,2,4,null,25,0,3
1716892706555,363,Register,200,OK,🛠 Thread Group 1-1,text,true,,20,0,2,4,null,30,0,2
1716892706706,238,Register,200,OK,🛠 Thread Group 1-2,text,true,,20,0,2,4,null,29,0,3
1716892706684,330,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,2,4,null,45,0,5
1716892706920,142,Login,401,Not OK,🛠 Thread Group 1-1,text,true,,15,0,2,4,null,12,0,2
1716892706824,285,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,2,4,null,49,0,5
1716892707014,421,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,2,4,null,19,0,3
1716892706945,502,Register,200,OK,🛠 Thread Group 1-2,text,true,,20,0,2,4,null,29,0,2
1716892707063,386,Login,401,Not OK,🛠 Thread Group 1-1,text,true,,15,0,2,4,null,11,0,5
1716892707111,372,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,2,3,null,20,0,4
1716892707436,95,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,2,3,null,14,0,3
1716892707449,105,Register,200,OK,🛠 Thread Group 1-2,text,true,,20,0,1,3,null,3,0,4
1716892707484,268,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,2,3,null,16,0,2
1716892707531,485,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,2,4,null,5,0,5
1716892707555,492,Login,200,OK,🛠 Thread Group 1-2,text,true,,21,0,2,4,null,8,0,3
1716892708018,70,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,2,4,null,47,0,3
1716892707771,343,Login,200,OK,🛠 Thread Group 1-3,text,true,,21,0,2,4,null,13,0,2
1716892707753,464,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,2,4,null,34,0,2
1716892708088,317,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,3,5,null,37,0,1
1716892708405,79,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,3,5,null,9,0,5
1716892708049,462,Login,200,OK,🛠 Thread Group 1-2,text,true,,21,0,2,5,null,43,0,4
1716892708234,279,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,3,5,null,33,0,1
1716892708115,411,Login,401,Not OK,🛠 Thread Group 1-3,text,true,,15,0,2,5,null,7,0,3
1716892708218,377,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,3,5,null,15,0,3
1716892708513,172,Login,200,OK,🛠 Thread Group 1-2,text,true,,21,0,2,5,null,35,0,4
1716892708529,246,Login,200,OK,🛠 Thread Group 1-3,text,true,,21,0,2,5,null,3,0,5
1716892708513,344,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,3,5,null,34,0,3
1716892708484,466,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,3,5,null,14,0,2
1716892708686,271,Login,200,OK,🛠 Thread Group 1-2,text,true,,21,0,2,5,null,30,0,2
1716892708596,418,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,3,5,null,7,0,3
1716892708775,263,Register,200,OK,🛠 Thread Group 1-3,text,true,,20,0,2,5,null,12,0,5
1716892709014,261,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,3,5,null,16,0,1
1716892708857,422,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,3,5,null,47,0,3
1716892708957,359,Login,401,Not OK,🛠 Thread Group 1-2,text,true,,15,0,2,5,null,45,0,4
1716892708950,497,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,3,4,null,9,0,2
1716892709043,501,Register,200,OK,🛠 Thread Group 1-3,text,true,,20,0,1,4,null,20,0,3
1716892709275,324,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,3,4,null,36,0,5
1716892709281,332,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,3,4,null,6,0,3
1716892709453,223,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,3,4,null,24,0,2
1716892709613,104,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,3,4,null,22,0,1
1716892709717,86,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,4,6,null,46,0,5
1716892709676,251,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,4,6,null,28,0,1
1716892709599,350,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,4,6,null,33,0,4
1716892709544,483,Register,200,OK,🛠 Thread Group 1-3,text,true,,20,0,2,6,null,14,0,2
1716892709770,275,Register,200,OK,🛠 Thread Group 1-4,text,true,,20,0,2,6,null,21,0,3
1716892709803,328,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,4,6,null,33,0,1
1716892709736,445,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,4,6,null,23,0,4
1716892709930,410,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,4,6,null,40,0,4
1716892709952,409,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,4,6,null,16,0,5
1716892710038,353,Login,200,OK,🛠 Thread Group 1-3,text,true,,21,0,2,6,null,35,0,4
1716892710045,400,Login,401,Not OK,🛠 Thread Group 1-4,text,true,,15,0,2,6,null,17,0,2
1716892710362,93,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,4,6,null,46,0,1
1716892710392,93,Register,200,OK,🛠 Thread Group 1-3,text,true,,20,0,2,6,null,44,0,2
1716892710184,375,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,4,6,null,33,0,4
1716892710447,122,Login,401,Not OK,🛠 Thread Group 1-4,text,true,,15,0,2,6,null,32,0,3
1716892710131,439,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,4,6,null,5,0,1
1716892710457,202,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,4,6,null,34,0,1
1716892710569,154,Register,200,OK,🛠 Thread Group 1-4,text,true,,20,0,2,6,null,31,0,5
1716892710659,133,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,4,6,null,29,0,2
1716892710340,493,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,4,6,null,35,0,3
1716892710486,423,Register,200,OK,🛠 Thread Group 1-3,text,true,,20,0,2,6,null,24,0,3
1716892710570,416,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,4,6,null,6,0,1
1716892710723,296,Login,401,Not OK,🛠 Thread Group 1-4,text,true,,15,0,2,6,null,13,0,5
1716892710910,119,Login,401,Not OK,🛠 Thread Group 1-3,text,true,,15,0,2,6,null,47,0,2
1716892710559,479,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,4,5,null,11,0,3
1716892711041,105,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,4,5,null,12,0,2
1716892710987,179,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,4,5,null,26,0,5
1716892711019,171,Login,200,OK,🛠 Thread Group 1-4,text,true,,21,0,1,5,null,17,0,5
1716892710792,405,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,4,5,null,16,0,5
1716892710833,365,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,4,5,null,4,0,3
1716892711197,223,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,5,6,null,7,0,5
1716892711235,193,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-6,text,true,,5,0,5,6,null,32,0,4
1716892711166,269,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,5,6,null,5,0,4
1716892711146,295,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,5,6,null,2,0,4
1716892711443,62,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,5,6,null,32,0,4
1716892711190,402,Register,200,OK,🛠 Thread Group 1-4,text,true,,20,0,1,6,null,3,0,1
1716892711428,174,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,5,6,null,38,0,3
1716892711429,226,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-6,text,true,,5,0,5,6,null,47,0,1
1716892711592,92,Register,200,OK,🛠 Thread Group 1-4,text,true,,20,0,1,6,null,14,0,3
1716892711198,490,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,5,6,null,4,0,5
1716892711684,91,Login,200,OK,🛠 Thread Group 1-4,text,true,,21,0,1,6,null,1,0,2
1716892711655,193,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-6,text,true,,5,0,5,7,null,13,0,1
1716892711435,432,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,5,7,null,43,0,2
1716892711505,372,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,5,7,null,36,0,3
1716892711868,64,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,5,7,null,17,0,4
1716892711688,348,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,5,7,null,27,0,1
1716892711602,481,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,5,7,null,24,0,2
1716892711935,177,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,5,7,null,35,0,5
1716892711778,366,Register,200,OK,🛠 Thread Group 1-5,text,true,,20,0,2,7,null,21,0,1
1716892711877,287,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,5,7,null,31,0,1
1716892711775,457,Register,200,OK,🛠 Thread Group 1-4,text,true,,20,0,2,7,null,32,0,4
1716892711848,471,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-6,text,true,,5,0,5,6,null,38,0,5
1716892712083,256,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,5,6,null,46,0,1
1716892712036,309,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,5,6,null,50,0,4
1716892712144,248,Login,401,Not OK,🛠 Thread Group 1-5,text,true,,15,0,1,6,null,16,0,4
1716892712165,243,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,5,6,null,41,0,2
1716892712339,115,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,5,6,null,5,0,2
1716892712345,169,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,5,6,null,22,0,2
1716892712113,474,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,5,6,null,45,0,2
1716892712392,206,Login,401,Not OK,🛠 Thread Group 1-5,text,true,,15,0,1,6,null,38,0,3
1716892712514,136,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,5,6,null,25,0,1
1716892712454,220,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-9,text,true,,5,0,5,6,null,14,0,5
1716892712650,52,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-10,text,true,,5,0,5,6,null,29,0,3
1716892712409,295,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,5,6,null,17,0,3
1716892712705,64,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-7,text,true,,5,0,6,7,null,6,0,2
1716892712319,477,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-6,text,true,,5,0,6,7,null,28,0,5
1716892712587,220,Dummy Sampler,200,OK,🛠 Scenario3 (Ultimate Thread Group) 2-8,text,true,,5,0,6,7,null,36,0,3
